Label,Description
Socialites unite dolphin groups,Dolphin groups pods rely socialites keep collapsing scientists claim
Teenage rexs monster growth,Tyrannosaurus rex achieved massive size due enormous growth spurt adolescent years
Scientists Discover Ganymede Lumpy Interior,Jet Propulsion Lab Scientists discovered irregular lumps beneath icy surface Jupiters largest moon Ganymede irregular masses may rock formations supported Ganymedes icy shell billions years
Mars Rovers Relay Images Mars Express,European Space Agency ESAs Mars Express relayed pictures one NASAs Mars rovers first time part set interplanetary networking demonstrations demonstrations pave way future Mars missions draw joint interplanetary networking capabilities
Rocking Cradle Life,life begin One evidential clue stems fossil records Western Australia although whether layered sediments biological chemical spawned spirited debate Oxford researcher Nicola McLoughlin describes issues contention
Storage servers bruise HP earnings,update Earnings per share rise compared year ago company misses analysts expectations long shot
IBM hire even new workers,end year computing giant plans biggest headcount since 1991
Suns Looking Glass Provides 3D View,Developers get early code new operating system skin still crafted
IBM Chips May Someday Heal,New technology applies electrical fuses help identify repair faults
People Eligible Get Google IPO,Google billed IPO way everyday people get process denying Wall Street usual stranglehold IPOs Public bidding minimum five shares open process 28 underwriters pointed new level public participation isnt case
Rivals Try Turn Tables Charles Schwab,MICHAEL LIEDTKE SAN FRANCISCO AP low prices iconoclastic attitude discount stock broker Charles Schwab Corp SCH represented annoying stone Wall Streets wingtipped shoes decades
News Sluggish movement power grid cyber security,Industry cyber security standards fail reach vulnerable components power grid
Giddy Phelps Touches Gold First Time,Michael Phelps gold medal 400 individual medley set world record time 4 minutes 826 seconds
Tougher rules wont soften Laws game,FOXBOROUGH Looking ridiculously developed upper body huge biceps hardly ounce fat easy see Ty Law arguably best cornerback football chooses physical play finesse Thats imply hes lacking finesse component shut side field much Deion Sanders
Shoppach doesnt appear ready hit next level,weeks dwindling Jason Varitek enters free agency Red Sox continue carefully monitor Kelly Shoppach catcher future climb toward majors Sox like seen Triple Pawtucket Shoppach though remains highly uncertain whether make adjustments plate
Mighty Ortiz makes sure Sox rest easy,imagine David Ortiz could good nights rest Ortiz spent night last baby boy DAngelo barely 1 month old planned attending Red Sox Family Day Fenway Park yesterday morning sleep Ortiz son home
Theyve caught eye,quothelping quot Ricky Bryant Chas Gessner Michael Jennings David Patten nothing Friday night make Bill Belichicks decision receivers easier
Indians Mount Charge,Cleveland Indians pulled within one game AL Central lead beating Minnesota Twins 71 Saturday night home runs Travis Hafner Victor Martinez
Sister man died Vancouver police custody slams chief Canadian Press,Canadian Press VANCOUVER CP sister man died violent confrontation police demanded citys chief constable resign defending officer involved
Man Sought 3650M McGreevey Aides Say AP,AP man claims Gov James E McGreevey sexually harassed pushing cash settlement 3650 million governor decided announce gay extramarital affair sources told Associated Press
Explosions Echo Throughout Najaf,NAJAF Iraq Explosions gunfire rattled city Najaf US troops armored vehicles tanks rolled back streets Sunday day collapse talks temporary ceasefire intended end fighting holy city
Frail Pope Celebrates Mass Lourdes,LOURDES France frail Pope John Paul II breathing heavily gasping times celebrated openair Mass Sunday several hundred thousand pilgrims many wheelchairs shrine Virgin Mary associated miraculous cures one point said help Polish struggling homily French
Venezuela Prepares Chavez Recall Vote,Supporters rivals warn possible fraud government says Chavezs defeat could produce turmoil world oil market
1994 Law Designed Preserve Guard Jobs AP,AP 1994 law strengthened job protections National Guard Reserve troops called active duty major provisions Uniformed Services Employment Reemployment Rights Act USERRA
Iran Warns Missiles Hit Anywhere Israel,TEHRAN Reuters senior Iranian military official said Sunday Israel United States would dare attack Iran since could strike back anywhere Israel latest missiles news agencies reported
Afghan Army Dispatched Calm Violence,KABUL Afghanistan Government troops intervened Afghanistans latest outbreak deadly fighting warlords flying capital far west US NATO airplanes retake air base contested violence officials said Sunday
Johnson Helps DBacks End NineGame Slide AP,AP Randy Johnson took fourhitter ninth inning help Arizona Diamondbacks end ninegame losing streak Sunday beating Steve Trachsel New York Mets 20
Retailers Vie BackToSchool Buyers Reuters,Reuters Apparel retailers hoping theirbacktoschool fashions make grade amongstyleconscious teens young adults fall couldbe tough sell students parents keeping tighterhold wallets
Politics Afterthought Amid Hurricane AP,AP Hurricane Charley struck three years ago President Bushs tour wreckage coastal city would sort postdisaster visit presidents made scenes storms earthquakes floods fires
Spam suspension hits Sohucom shares FTcom,FTcom Shares Sohucom leading USlisted Chinese internet portal fell 10 per cent Friday Chinas biggest mobile phone network operator imposed oneyear suspension multimedia messaging services customers sent spam
Erstads Double Lifts Angels Win AP,AP Darin Erstad doubled goahead run eighth inning lifting Anaheim Angels 32 victory Detroit Tigers Sunday win pulled Anaheim within percentage point Boston Texas AL wildcard race
Drew Braves Lineup Injury AP,AP Outfielder JD Drew missed Atlanta Braves game St Louis Cardinals Sunday night sore right quadriceps
Venezuelans Flood Polls Voting Extended,CARACAS Venezuela Reuters Venezuelans voted huge numbers Sunday historic referendum whether recall leftwing President Hugo Chavez electoral authorities prolonged voting well night
Dell Exits LowEnd China Consumer PC Market,HONG KONG Reuters Dell Inc ltDELLOgt worlds largest PC maker said Monday left lowend consumer PC market China cut overall growth target country year due stiff competition segment
China Says Taiwan Spy Also Operated US Media,BEIJING Reuters Beijing Monday accused ChineseAmerican arrested spying Taiwan building espionage network United States said could go trial soon
Another Major NonFactor,Another major another disappointment Tiger Woods 1 ranked player world major championship since triumph 2002 US Open
US fighter squadron deployed South Korea next month AFP,AFP squadron US Air Force F15E fighters based Alaska fly South Korea next month temporary deployment aimed enhancing US firepower Korean peninsula US authorities said
Johnson Back Best DBacks End Streak,NEW YORK Reuters Randy Johnson struck 14 batters 8 13 innings help Arizona Diamondbacks end ninegame losing streak 20 win host New York Mets National League Sunday
Restive Maldives eases curfew rounding dissidents AFP,AFP curfew capital Maldives eased parliament sessions put indefinitely emergency rule continued following last weeks riots officials residents said
Vodafone hires Citi Cesky bid TheDealcom,TheDealcom UK mobile giant wants find way disentagle Czech wireless fixedline businesses
Dollar Briefly Hits 4Wk Low Vs Euro,LONDON Reuters dollar dipped fourweek low euro Monday rising slightly profittaking steep oil prices weak US data continued fan worries health worlds largest economy
Promoting Shared Vision,Michael Kaleko kept running people getting older vision problems realized could something
Indias Tata expands regional footprint via NatSteel buyout AFP,AFP Indias Tata Iron Steel Company Ltd took strategic step expand Asian footprint announcement buy AsiaPacific steel operations Singapores NatSteel Ltd
Delegates Urge Cleric Pull Najaf,BAGHDAD Iraq Delegates Iraqs National Conference called radical Shiite cleric Muqtada alSadr abandon uprising US Iraqi troops pull fighters holy shrine Najaf
Treasuries Slip Stocks Rally,NEW YORK Reuters US Treasury debt prices slipped Monday though traders characterized move profittaking rather fundamental change sentiment
Dollar Rises Vs Euro Asset Flows Data,NEW YORK Reuters dollar extended gains euro Monday report flows US assets showed enough rise foreign investments offset current account gap month
Sutton Adds Haas Cink Ryder Cup Team,MILWAUKEE Sports Network US Ryder Cup captain Hal Sutton finalized team Monday announced selections Jay Haas Stewart Cink captains picks
Haas Cink Selected Ryder Cup Team,Jay Haas joined Stewart Cink two captains picks US team try regain cup Europe next month
Natalie Coughlin Wins 100M Backstroke AP,AP American Natalie Coughlin Olympic gold 100meter backstroke Monday night Coughlin woman ever swim 1 minute event finished first 1 minute 037 seconds Kirsty Coventry Zimbabwe swims Auburn University Alabama earned silver 10050 Laure Manaudou France took bronze 10088
Oracle Overhauls SalesSide Apps CRM Suite NewsFactor,NewsFactor Oracle Nasdaq ORCL revamped salesside CRM applications version 11i10 sales marketing partner relationship management ecommerce application
UN launches 210milliondollar appeal floodhit Bangladesh AFP,AFP United Nations launched appeal 210 million dollars help flood victims facing grave food shortages twothirds Bangladesh submerged destroying crops killing 700 people
Indian state rolls wireless broadband,Government South Indian state Kerala sets wireless kiosks part initiative bridge digital divide
Hurricane Survivors Wait Water Gas,PUNTA GORDA Fla Urban rescue teams insurance adjusters National Guard troops scattered across Florida Monday help victims Hurricane Charley deliver water supplies thousands people left homeless
Jackson Squares Prosecutor,SANTA MARIA Calif Fans Michael Jackson erupted cheers Monday pop star emerged doubledecker tour bus went court showdown prosecutor pursued years child molestation charges
Bobcats Trade Drobnjak Hawks Pick AP,AP Charlotte Bobcats traded center Predrag Drobnjak Atlanta Hawks Monday second round pick 2005 NBA draft
Suspect charged abduction sexual assault 11yearold girl Canadian Press,Canadian Press LANGLEY BC CP Police arrested man kidnapping sexual assault 11yearold girl frightened suburban Vancouver community last week
Chinas Red Flag Linux focus enterprise,Red Flag Software Co company behind Chinas leading Linux client distribution plans focus server operating system enterprise customers companys acting president said
AOL Properties Sign Girafa Thumbnail Search Images,AOL Properties Sign Girafa Thumbnail Search ImagesGirafacom Inc announced today CompuServe Netscape AIM ICQ properties America Online Inc signed agreement Girafa use Girafas thumbnail search images integrated part search resultsUsing Girafas thumbnail search service search users
Cassini Spies Two Little Saturn Moons AP,AP NASAs Cassini spacecraft spied two new little moons around satelliterich Saturn space agency said Monday
front line AIDS Russia,industrial city northwest Moscow struggles AIDS hits broader population
Nobel Laureate Decries Stem Cell Limits AP,AP Nobel laureate medicine said Monday Bush administrations limits funding embryonic stem cell research effectively stopped clock American scientists efforts develop treatments host chronic debilitating diseases
Jury Hear Kobe Accusers Sex Life AP,AP Prosecutors suffered another setback Monday Kobe Bryant sexual assault case losing lastditch attempt keep NBA stars lawyers telling jurors alleged victims sex life
North Korea Talks Still China Tells Downer Reuters,Reuters China said date set forworkinglevel talks North Korean nuclear crisis gaveno indication meeting canceled AustralianForeign Minister Alexander Downer said Tuesday
Griffin Anchor DLine,Redskins expect huge things 300pound Cornelius Griffin signed aid teams weakest unit defensive line
Last American defector North Korea agrees tell story AFP,AFP last surviving American defector communist North Korea wants tell story put human face Stalinist state believes unfairly vilified abroad British filmmakers said
Live Olympics day four,Richard Faulds Stephen Parry going gold Great Britain day four Athens
Kerry Widens Lead California Poll Finds Reuters,Reuters Democratic challenger John Kerryhas commanding lead President Bush California 54percent 38 percent among likely voters poll released onTuesday found
Capacity Crowds Beach Volleyball Rock Joint,ATHENS Reuters beach volleyball 2004 Olympics sellout footstomping success
Dollar Near Recent Lows Awaits ZEWCPI,LONDON Reuters dollar held steady near weeks fourweek low euro Tuesday investors awaiting German investor confidence survey US consumer inflation numbers shed light direction
Intel delay product aimed highdefinition TVs,SAN FRANCISCO latest series product delays Intel Corp postponed launch video display chip previously planned introduce year end putting showdown Texas Instruments Inc fastgrowing market highdefinition television displays
Venezuela vote keeps Chavez president,CARACAS Venezuelans voted resoundingly keep firebrand populist Hugo Chavez president victory drew noisy reactions yesterday sides streets International observers certified results clean accurate
Jailing HK democrat China politically motivated AFP,AFP Hong Kong democrats accused China jailing one members trumpedup prostitution charges bid disgrace political movement Beijing feuding seven years
Kmart Swings Profit 2Q Stock Surges AP,AP Shares Kmart Holding Corp surged 17 percent Monday discount retailer reported profit second quarter said chairman majority owner Edward Lampert free invest companys 3626 billion surplus cash
Fischers Fiancee Marriage Plans Genuine AP,AP Former chess champion Bobby Fischers announcement thathe engaged Japanese woman could win sympathy among Japanese officials help avoid deportation United States fiancee one supporters said Tuesday
US Misses Cut Olympic 100 Free,ATHENS Greece Top American sprinters Jason Lezak Ian Crocker missed cut Olympic 100meter freestyle preliminaries Tuesday stunning blow country always done well event Pieter van den Hoogenband Netherlands Australian Ian Thorpe advanced evening semifinal day dueling teenager Michael Phelps 200 freestyle Thorpe
Consumers Would Pay Phone Proposal,proposal backed coalition telephone carriers would cut billions dollars fees owed longdistance companies regional phone giants would allow regional companies make difference raising monthly phone bills millions consumers ltFONT faceverdanaMS Sans Serifarialhelvetica size2 color666666gtltBgtThe Washington PostltBgtltFONTgt
US Brokers Ceasefire Western Afghanistan,KABUL Reuters United States brokered ceasefire renegade Afghan militia leader embattled governor western province Herat Washingtons envoy Kabul said Tuesday
Sneaky Credit Card Tactics,Keep eye credit card issuers may raise rates
Intel Delays Launch Projection TV Chip,another product postponement semiconductor giant Intel Corp said wont offering chip projection TVs end 2004 announced earlier year
Fund pessimism grows,NEW YORK CNNMoney Money managers growing pessimistic economy corporate profits US stock market returns according monthly survey Merrill Lynch released Tuesday
Kederis proclaims innocence,Olympic champion Kostas Kederis today left hospital ahead date IOC inquisitors claiming innocence vowing quotAfter crucifixion comes resurrection quot
Eriksson 39t feel extra pressure following scandal,NEWCASTLE England AP England coach SvenGoran Eriksson said Tuesday 39t extra pressure aftermath scandal damaged Football Association 39s reputation
Injured Heskey miss England friendly,NEWCASTLE England AP Striker Emile Heskey pulled England squad ahead Wednesday 39s friendly Ukraine tight hamstring Football Association said Tuesday
Staples Profit Enter China Market,NEW YORK Reuters Staples Inc ltA HREFhttpwwwinvestorreuterscomFullQuoteaspxtickerSPLSO targetstocksquickinfofullquotegtSPLSOltAgt top US office products retailer Tuesday reported 39 percent jump quarterly profit raised fullyear forecast said plans enter fastgrowing Chinese market sending shares higher
Delegation Delayed Reaching Najaf,AGHDAD Iraq Aug 17 delegation Iraqis delayed security reasons today still intended visit Najaf try convince rebellious Shiite cleric militia evacuate shrine holy city end
Consumer Prices Industry Output,WASHINGTON Reuters US consumer prices dropped July first time eight months sharp run energy costs reversed government said report suggested slow rate interest rate hikes likely
Olympic history India UAE,Indian army major shot way country 39s first ever individual Olympic silver medal Tuesday event member Dubai 39s ruling family became first ever medallist United Arab Emirates
Home Depot Likes High Oil,Rising fuel prices bugbear retail sector helping Home Depot HDNYSE news research remodeling giant reported surge secondquarter earnings Tuesday guided rest year higher
China cracks quotphone sex quot services,BEIJING Aug 17 Xinhuanet China carrying nationwide campaign crack quotphone sex quot services paralleling another sweeping operation Internet pornography Minister Information Industry Wang Xudong said Tuesday
Surviving Biotechs Downturns,Charly Travers offers advice withstanding volatility biotech sector
Mr Downer shoots mouth,Alexander Downer thinking declared radio last Friday quotthey could fire missile North Korea Sydney quot unclear provocative remark days arrival yesterday second visit North Korean
Edwards Banned Games Source,ATHENS Reuters World 100 meters champion Torri Edwards miss Athens Olympics appeal twoyear drugs ban dismissed Tuesday source told Reuters
Stocks Climb Drop Consumer Prices,NEW YORK Stocks rose second straight session Tuesday drop consumer prices allowed investors put aside worries inflation least short term gasoline prices falling eightmonth lows Consumer Price Index registered small drop July giving consumers respite soaring energy prices
Iliadis Tanimoto win judo golds,Ilias Iliadis Greece thrilled home crowd Tuesday beating Roman Gontyuk Ukraine win gold medal 81kilogram class
Sudan vows restore order Darfur calls African peacekeepers AFP,AFP Sudan take lead restoring order rebellious Darfur region needs support African peacekeepers humanitarian aid Foreign Minister Mustafa Osman Ismail said
TGn Sync Proposes New WLAN Standard,battle home entertainment networking heating coalition proposes yet another standard IEEE 39s consideration
Yahoo Ups Ante Small Businesses,Web giant Yahoo gambling price cuts domain name registration Web hosting products make competitive discounters space means small businesses looking move online get sweeter deal
IBM Buys Two Danish Services Firms,IBM said Tuesday acquired pair Danish services firms part effort broaden presence Scandinavia result moves IBM add 3700 staffers global head count Financial terms
Motorola HP Linux tieup,Motorola plans sell mobile phone network equipment uses Linuxbased code step forward network gear makers 39 efforts rally around standard
Microsoft Pushes SP2 Release,Microsoft delay release SP2 update another week fix software glitches everyone quite eager install SP2 update Windows XP fact many companies demanded ability prevent
Cassini Space Probe Spots Two New Saturn Moons Reuters,Reuters Two new moons spotted aroundSaturn Cassini space probe raising total 33moons ringed planet NASA said Monday
Buckeyes lots replace brimming optimism,remarkable similarities 2004 Ohio State Buckeyes national championship two years ago
IBM adds midrange server eServer lineup,new IBM Power5 eServer i5 550 also features higher performance new virtualization capabilities allow run multiple operating systems separate partitions
iPod Comparison,Newsday 146s Stephen Williams reports seeing Sony 146s NWHD1 audio player store 147 145How 146s compare iPod 146 asked salesman 145Battery life lot longer 30 hours 146 said 145The LCD readout kind dim 146 said 146Battery life lot longer 146 said 145I understand 146t play MP3 files 146 said 145Battery life lot longer 146 said 148 Aug 17
Mills Grabs 1B Portfolio Taubman Likely Lose Contracts,Mills Corp agreed purchase 50 percent interest nine malls owned General Motors Asset Management Corp 1 billion creating new joint venture groups deal extend
Women stumble silver,ATHENS mistakes minor Carly Patterson 39s foot scraping lower uneven bars Courtney Kupets 39 tumbling pass ended instead Mohini Bhardwaj 39s slight stumble beam
Oil prices bubble record high,price oil continued sharp rise overnight closing record high main contract New York light sweet crude delivery next month closed record US4675 barrel 70 cents yesterday 39s close
Notable quotes Tuesday Athens Olympics,quotIt hurt like hell could see Thorpe coming breathing saw team going crazy really kept going quot
AMD Ships Notebook Chips,39t first go small 39t biggest producer AMD 39s Quote Chart 64bit 90nanometer nm chips expected make waves semiconductor pool
UK charges 8 terror plot linked alert US,LONDON AUGUST 17 Britain charged eight terror suspects Tuesday conspiracy commit murder said one plans could used striking US buildings focus security scares month
IBM Seeks SCO Claims Dismissed NewsFactor,NewsFactor IBM NYSE IBM sought pending legal claims SCO Group dismissed According motion filed US district court IBM argues SCO evidence support claims appropriated confidential source code Unix System V placed Linux
SUVs Live Let Die,NEW YORK newly released traffic crash fatality data something everyone debate safety sport utility vehicles
Security scare intruder dives,CANADIAN husband 39s love wife led tightening security Olympic venues Athens
Team USA barely wins struggles players 39 fault,everybody around USA Basketball breathed huge sigh relief let 39s get carried away
UPI NewsTrack Sports,United States men 39s basketball team capped big day USA fighting Greece vital win 7771 quotThey played heart quot said Coach Larry Brown quotThat 39s ask quot
Peace delegation leaves Najaf emptyhanded fighting continues,BAGHDAD Iraq national political conference 39s bid end fighting Shiite Muslim holy city Najaf appeared failed Tuesday
Georgian president calls international conference South Ossetia,TBILISI Georgia Georgian President Mikhail Saakashvili appealed world leaders Tuesday convene international conference conflict breakaway South Ossetia daily exchanges gunfire threaten spark
Shelling shooting resumes breakaway Georgian region AFP,AFP Georgian South Ossetian forces overnight accused trying storm sides positions Georgias breakaway region South Ossetia four Georgian soldiers reported wounded
Youkilis McCarty placed 15day disabled list,BOSTON another busy day medical front Red Sox series roster moves announced prior Tuesday night 39s game Blue Jays
KerryKerrey Confusion Trips Campaign AP,AP John Kerry Bob Kerrey easy get confused
Former Florida Swimming Coach Dies 83 AP,AP William H Harlan retired University Florida swimming coach led Gators eight conference titles died Tuesday school officials said 83
US Men Right Touch Relay Duel Australia,THENS Aug 17 Michael Phelps going match seven gold medals Mark Spitz early tell match Aleksandr Dityatin Soviet gymnast eight total medals 1980
Schrder adopts Russian orphan,Threeyearold Victoria St Petersburg living Schrders 39 family home Hanover northern Germany several weeks
Cabrera Leads Red Sox Past Blue Jays 54 AP,AP Orlando Cabrera hit runscoring double Green Monster ninth inning reliever Justin Speiers second pitch game giving Boston Red Sox 54 win Toronto Blue Jays Tuesday night
United Arab Emirates trap shooter secures nation 39s first Olympic gold,Sheik Ahmed bin Hashr AlMaktoum earned firstever Olympic medal United Arab Emirates took home gold medal men 39s double trap shooting Tuesday Athens
Sharon orders 1000 homes West Bank,Israel announced plans 1000 houses West Bank yesterday accelerating expansion settlements
Cal Player Investigated Sex Assault AP,AP least one member topranked Southern California football team investigation sexual assault Los Angeles Police Department said Tuesday
Bush Promotes Plan Missile Defense System,President Bush Pennsylvania said opponents missile defense system putting nations security risk
China Sighs Relief Yao Scores High,BEIJING Reuters China breathed measured sigh relief skills basketball giant Yao Ming dwarfed New Zealand sweep team nearer goal reaching Athens Olympics semifinals
Israelis OK new homes West Bank,leaked Israeli plan build 1000 new Jewish settler homes West Bank yesterday sent Bush administration officials scrambling response sensitive period November 39s presidential election
Britain accuses 8 terror plot,LONDON British police charged eight terrorist suspects yesterday conspiring commit murder use radioactive materials toxic gases chemicals explosives cause quotfear injury quot
Israel kills 5 strike Hamas activist,Islamic group 39s armed wing Izz elDeen alQassam Brigades Doctors said suffered leg wounds
Zambrano Early Mets,ENVER Aug 17 Victor Zambrano came Mets radical movement pitches fixable flaws delivery curious sore spot lingering around right elbow
Dollar Stuck CPI Offers Little Direction,TOKYO Reuters dollar moved tight ranges Wednesday investors shrugged lowerthanexpected US inflation data stuck view US Federal Reserve would continue raising rates
St Louis Cardinals News,Righthander Matt Morris threw seven solid innings Cardinals needed basesloaded walk second baseman Tony Womack grand slam new right fielder Larry Walker key sixrun eighth inning
Greek sprinters arrive IOC hearing,ATHENS Reuters Greek sprinters Costas Kenteris Katerina Thanou arrived Athens hotel International Olympic Committee IOC hearing missed doped tests saga shamed angered Olympic host
Flop ninth inning sinks Jays,BOSTON Toronto Blue Jays worse hitting games season lesser pitchers Pedro Martinez
Fresh Fighting Shatters ShortLived Ceasefire Deal,Renewed clashes South Ossetia resulted death two Georgian soldiers erupted late August 17 several hours South Ossetian Georgian officials agreed ceasefire result Tbilisi already announced
Hamm hopes get roll,Paul Hamm takes another shot history tonight hell try become first American win Olympic mens allaround gymnastics
Karzai Promises Afghans Security Election Reuters,Reuters Afghanistans President Hamid Karzaipromised Afghans greater security go vote thecountrys first ever democratic election independenceday speech Wednesday
Google Lowers IPO Price Range,SAN JOSE Calif sign Google Incs initial public offering isnt popular expected company lowered estimated price range 85 95 per share earlier prediction 108 135 per share
Future Doctors Crossing Borders,Students Mount Sinai School Medicine learn diet culture shape health East Harlem
Oil Sets New Record 47 Iraq Threat,LONDON Reuters Oil prices surged new high 47 barrel Wednesday new threat rebel militia Iraqi oil facilities United States said inflation stayed check despite rising energy costs
Greek sprinters quit end Games scandal,ATHENS Reuters Greece 39s two top athletes pulled Athens Olympics apologised Greek people scandal missed dope tests tarnished Games 39 return birthplace
Phelps Eyes Fourth Gold,ATHENS Reuters weary Michael Phelps targeted fourth Olympic gold medal Athens turning attention Wednesday 200 meters individual medley settling secondfastest overall time heats
Israel Kills 5 Attempt Assassinate Hamas Man,GAZA Reuters senior Hamas leader survived Israeli assassination attempt Gaza Strip Wednesday least five Palestinians killed explosion tore home
Giants win 6th straight Schmidt injured,SAN FRANCISCO first doubleheader SBC Park set go today already stood long workday Giants come heels even longer night
SEC may put end quid pro quo USATODAYcom,USATODAYcom Securities Exchange Commission expected vote Wednesday prohibit mutual fund companies funneling stock trades brokerage firms agree promote funds investors
Real targets iPod download price cut,RealNetworks kicked claims biggest online music sale history limited time every song firm 39s RealPlayer Music Store downloaded 49 cents albums available 499
Philippine Rebels Free Troops Talks Doubt,PRESENTACION Philippines Reuters Philippine communist rebels freed Wednesday two soldiers held prisoners war five months saying wanted rebuild confidence peace talks government
British Terror Suspects Make First Court Appearance,LONDON Reuters British terror suspects charged plot linked security alerts financial targets New York New Jersey Washington made first court appearance Wednesday inside high security prison
UPDATE China Mobile 1H Net 78 Subscriber Growth,HONG KONG Dow JonesChina Mobile Hong Kong Ltd CHL listed unit China 39s biggest cellular phone operator posted Wednesday 78 rise firsthalf net profit 23 increase subscriber base
Monsanto Says Justice Dept Closes Inquiry,NEW YORK Reuters Monsanto Co ltA HREFhttpwwwinvestorreuterscomFullQuoteaspxtickerMONN targetstocksquickinfofullquotegtMONNltAgt Wednesday said US Justice Department closed inquiry potential antitrust issues regarding key ingredient used Roundup herbicide
Cox Communications forms committee advise buyout,Cox Communications Inc 39s board directors formed special committee independent directors consider Cox Enterprises Inc 39s proposal take company private 8 billion stock buyout
Afghan women make brief Olympic debut,Afghan women made shortlived debut Olympic Games Wednesday 18yearold judo wildcard Friba Razayee defeated 45 seconds first match under70kg middleweight
North Korea peace efforts peril,international effort end North Korean nuclear crisis appears risk unravelling despite Foreign Minister Alexander Downer 39s highprofile mission secretive Stalinist state
10 features perfect browser,great browsers seem slight niggles different make hard kick back enjoy projects make browsers useful specialised purposes bolting handy extensions wouldnt great people could come standardised set nice features like lot browsers may support one two Ill bet none
Cops Test Handheld Fingerprint Reader,Several Minnesota police departments field testing handheld device scans suspects fingerprint digitally checks Minnesotas criminal history fingerprint database
Ross Stores Profit Plummets 40 Percent AP,AP Discount retailer Ross Stores Inc Wednesday said profit fell 40 percent latest quarter due problems new computer system limited companys ability respond changes customer demand
Small computers multiple personalities,BOSTON jury still whether computer ever truly intelligent question multiple personalities 39s matter software usually think processor chip brains computer
Rebel threat roads leaves Katmandu isolated,KATMANDU Nepal Nepali capital largely cut rest country Wednesday Maoist rebels threatened attack vehicles traveling main roads virtual blockade Katmandu press demands release
Immigrants settled big cities less likely find work StatsCan Canadian Press,Canadian Press OTTAWA CP nearly two million immigrants arrived Canada 1990s settled one countrys 27 census metropolitan areas still found harder find work naturalborn citizens Statistics Canada reported Wednesday
Sun postpones September user show,Sun Microsystems Inc decided postpone September SunNetwork 2004 San Francisco user conference contemplating merging event JavaOne 2005 developer conference scheduled end June 2005
Olympics Emotional Zijlaardvan Moorsel defends time trial title,ATHENS Dutch cycling great Leontien Zijlaardvan Moorsel emotionally defended Olympic time trial gold medal
Oracle launches Business Integlligence 10g,Oracle introduced new BI platform yesterday Business Intelligence 10g rolls one solution BI tools However interesting nittygritty details included back story taking place time
Dutch cyclist defends Olympic gold,AMSTERDAM Cyclist Leontien ZijlaardVan Moorsel first gold medal Netherlands Athens Olympic Games Wednesday
Krogers Profit Price Cuts Weigh,NEW YORK Reuters Kroger Co top US grocer Tuesday posted 29 percent rise quarterly profit due cost controls price cuts lure shoppers caused earnings miss Wall Street estimates shares fell
